title,content
"Easy, Friendly, Knowledgeable, reasonable",Easy to find an insurance that matched my needs and ordered them by need and cost nicely. I had to call in after to ask a question and your young lady on the call was crazy smart and knew her stuff and answered my questions plus gave me a quick overview and suggestings as to what to print and bring and download the ins company app.
review for Shanna,i talked to Shanna on 4-8-2025 and purchased travel insurance. She was an answer to everything i needed.
Quick and easy insurance,It was simple and fast.
COULD NOT ASK TOO MANY QUESTIONS,"No matter how many questions I asked, ( sometimes twice), Felicia F. was calm, polite, and informative."
Great Company,I've been using them for years. Always happy with them.
Very easy and complete information that…,Very easy and complete information that Denise provided!
Denise was very pleasant and clear…,Denise was very pleasant and clear which made it easy to decide on the insurance purchase.
Helpful representative in choosing best…,"Helpful representative in choosing best plan to fit our travel needs,"
The process was easy,"The process was easy. Gave me multiple options to choose from. I would like to be able to see the detail behind when I compare. Like the time frame to pay out on baggage delay, flight delays, etc. Some you have to wait 3 hours, others 6 or 12 hours. It would be nice to know that before choosing the best plan for you."
Very knowledgeable and polite customer…,Very knowledgeable and polite customer service
Denise and Laura were both…,"Denise and Laura were both knowledgeable, efficient and very time sensitive. Great experience! Highly recommend!"
Excellent customer service,"Excellent customer service! Thank you!
Signical,y better prices than cruise line offering…"
It was easy.,
Customer Service on the phone,We did the insurance through your site but then I had to call in to change the departure date. Shanna P was great. Very patient and explained to me the process and timing for the change. You have a great team!
Patient and knowledgeable agent,"Jayson was very patient and explained everything well. He advised me regarding a complex situation. I was able to understand which expenses I needed to and insure and which I did not, and the plan he recommended saved me money."
